Start_IATA,Start_Airport,Start_Lat,Start_Lon,End_IATA,End_Airport,End_Lat,End_Lon,Distance,CostPerKm,Price,Start_City,End_City
BOM,Chhatrapati Shivaji International Airport,19.0887,72.8679,IXU,Aurangabad Airport,19.8627,75.3981,279.0,59.47,16592.96,Mumbai,Aurangabad
BOM,Chhatrapati Shivaji International Airport,19.0887,72.8679,IXY,Kandla Airport,23.1127,70.1003,532.01,26.29,13985.32,Mumbai,Kandla
BOM,Chhatrapati Shivaji International Airport,19.0887,72.8679,IXZ,Vir Savarkar International Airport,11.6412,92.7297,2282.89,9.48,21632.97,Mumbai,Port Blair
BOM,Chhatrapati Shivaji International Airport,19.0887,72.8679,LKO,,,,1250.33,7.81,9762.24,Mumbai,
BOM,Chhatrapati Shivaji International Airport,19.0887,72.8679,MAA,Chennai International Airport,12.99001,80.1693,1034.13,11.82,12226.77,Mumbai,Chennai
BOM,Chhatrapati Shivaji International Airport,19.0887,72.8679,PNQ,,,,120.0,155.43,18652.04,Mumbai,
CCU,Netaji Subhash Chandra Bose International Airport,22.6547,88.4467,AMD,Sardar Vallabhbhai Patel International Airport,23.0772,72.6347,1619.99,7.27,11782.02,Kolkata,Ahmedabad
CCU,Netaji Subhash Chandra Bose International Airport,22.6547,88.4467,COK,Cochin International Airport,10.152,76.4019,1890.81,7.07,13370.24,Kolkata,Cochin
CCU,Netaji Subhash Chandra Bose International Airport,22.6547,88.4467,DEL,Indira Gandhi International Airport,28.5665,77.1031,1300.04,11.54,15001.34,Kolkata,New Delhi
CCU,Netaji Subhash Chandra Bose International Airport,22.6547,88.4467,GOI,Dabolim Airport,15.3808,73.8314,1734.88,7.55,13094.54,Kolkata,Dabolim
CCU,Netaji Subhash Chandra Bose International Airport,22.6547,88.4467,IXA,Agartala Airport,23.887,91.2404,316.99,27.93,8853.81,Kolkata,Agartala
CCU,Netaji Subhash Chandra Bose International Airport,22.6547,88.4467,IXB,Bagdogra Airport,26.6812,88.3286,448.0,39.47,17682.32,Kolkata,Siliguri
CCU,Netaji Subhash Chandra Bose International Airport,22.6547,88.4467,IXC,Chandigarh Airport,30.6735,76.7885,1461.25,10.0,14615.86,Kolkata,Chandigarh
CCU,Netaji Subhash Chandra Bose International Airport,22.6547,88.4467,IXE,Mangalore International Airport,12.9613,74.8901,1793.06,8.99,16119.16,Kolkata,Mangalore
CCU,Netaji Subhash Chandra Bose International Airport,22.6547,88.4467,IXJ,Jammu Airport,32.6891,74.8374,1740.99,15.9,27683.52,Kolkata,Jammu
CCU,Netaji Subhash Chandra Bose International Airport,22.6547,88.4467,IXL,Leh Kushok Bakula Rimpochee Airport,34.1359,77.5465,1661.0,17.76,29495.16,Kolkata,Leh
CCU,Netaji Subhash Chandra Bose International Airport,22.6547,88.4467,IXM,Madurai Airport,9.83451,78.0934,1801.96,11.76,21189.64,Kolkata,Madurai
COK,Cochin International Airport,10.152,76.4019,AMD,Sardar Vallabhbhai Patel International Airport,23.0772,72.6347,1491.98,7.89,11769.97,Cochin,Ahmedabad
COK,Cochin International Airport,10.152,76.4019,IXA,Agartala Airport,23.887,91.2404,2192.02,6.45,14130.34,Cochin,Agartala
COK,Cochin International Airport,10.152,76.4019,IXB,Bagdogra Airport,26.6812,88.3286,2223.89,8.04,17882.19,Cochin,Siliguri
COK,Cochin International Airport,10.152,76.4019,IXC,Chandigarh Airport,30.6735,76.7885,2283.04,7.38,16853.83,Cochin,Chandigarh
COK,Cochin International Airport,10.152,76.4019,IXE,Mangalore International Airport,12.9613,74.8901,354.01,36.6,12957.84,Cochin,Mangalore
COK,Cochin International Airport,10.152,76.4019,IXJ,Jammu Airport,32.6891,74.8374,2511.64,9.48,23815.79,Cochin,Jammu
COK,Cochin International Airport,10.152,76.4019,IXL,Leh Kushok Bakula Rimpochee Airport,34.1359,77.5465,2670.21,11.68,31187.26,Cochin,Leh
COK,Cochin International Airport,10.152,76.4019,IXM,Madurai Airport,9.83451,78.0934,189.0,125.1,23643.91,Cochin,Madurai
DEL,Indira Gandhi International Airport,28.5665,77.1031,AMD,Sardar Vallabhbhai Patel International Airport,23.0772,72.6347,754.98,14.42,10889.75,New Delhi,Ahmedabad
DEL,Indira Gandhi International Airport,28.5665,77.1031,BLR,Bengaluru International Airport,13.1979,77.7063,2150.11,5.6,12039.26,New Delhi,Bangalore
DEL,Indira Gandhi International Airport,28.5665,77.1031,BOM,Chhatrapati Shivaji International Airport,19.0887,72.8679,1148.02,9.96,11439.2,New Delhi,Mumbai
DEL,Indira Gandhi International Airport,28.5665,77.1031,CCU,Netaji Subhash Chandra Bose International Airport,22.6547,88.4467,1300.0,12.11,15737.03,New Delhi,Kolkata
DEL,Indira Gandhi International Airport,28.5665,77.1031,COK,Cochin International Airport,10.152,76.4019,2049.06,5.84,11962.32,New Delhi,Cochin
DEL,Indira Gandhi International Airport,28.5665,77.1031,GOA,,,,1500.01,47.22,70831.55,New Delhi,
DEL,Indira Gandhi International Airport,28.5665,77.1031,HYD,Rajiv Gandhi International Airport Shamshabad,17.23132,78.42986,1268.03,9.58,12153.91,New Delhi,Hyderabad
DEL,Indira Gandhi International Airport,28.5665,77.1031,IXA,Agartala Airport,23.887,91.2404,1502.0,9.95,14946.05,New Delhi,Agartala
DEL,Indira Gandhi International Airport,28.5665,77.1031,IXB,Bagdogra Airport,26.6812,88.3286,1125.99,18.95,21332.05,New Delhi,Siliguri
DEL,Indira Gandhi International Airport,28.5665,77.1031,IXC,Chandigarh Airport,30.6735,76.7885,237.0,69.14,16385.2,New Delhi,Chandigarh
DEL,Indira Gandhi International Airport,28.5665,77.1031,IXE,Mangalore International Airport,12.9613,74.8901,1751.12,8.28,14505.24,New Delhi,Mangalore
DEL,Indira Gandhi International Airport,28.5665,77.1031,IXJ,Jammu Airport,32.6891,74.8374,508.0,48.83,24804.45,New Delhi,Jammu
DEL,Indira Gandhi International Airport,28.5665,77.1031,IXL,Leh Kushok Bakula Rimpochee Airport,34.1359,77.5465,621.0,37.55,23319.85,New Delhi,Leh
DEL,Indira Gandhi International Airport,28.5665,77.1031,IXL,Leh Kushok Bakula Rimpochee Airport,34.1359,77.5465,621.0,36.97,22956.94,New Delhi,Leh
DEL,Indira Gandhi International Airport,28.5665,77.1031,IXM,Madurai Airport,9.83451,78.0934,2086.19,7.93,16550.95,New Delhi,Madurai
DEL,Indira Gandhi International Airport,28.5665,77.1031,IXY,Kandla Airport,23.1127,70.1003,927.0,46.13,42757.8,New Delhi,Kandla
DEL,Indira Gandhi International Airport,28.5665,77.1031,IXZ,Vir Savarkar International Airport,11.6412,92.7297,2485.1,7.41,18406.82,New Delhi,Port Blair
DEL,Indira Gandhi International Airport,28.5665,77.1031,MAA,Chennai International Airport,12.99001,80.1693,1760.96,7.96,14017.36,New Delhi,Chennai
GOI,Dabolim Airport,15.3808,73.8314,BLR,Bengaluru International Airport,13.1979,77.7063,569.99,16.23,9250.32,Dabolim,Bangalore
HYD,Rajiv Gandhi International Airport Shamshabad,17.23132,78.42986,AMD,Sardar Vallabhbhai Patel International Airport,23.0772,72.6347,889.01,14.57,12950.07,Hyderabad,Ahmedabad
HYD,Rajiv Gandhi International Airport Shamshabad,17.23132,78.42986,BOM,Chhatrapati Shivaji International Airport,19.0887,72.8679,620.01,20.88,12946.44,Hyderabad,Mumbai
HYD,Rajiv Gandhi International Airport Shamshabad,17.23132,78.42986,CCU,Netaji Subhash Chandra Bose International Airport,22.6547,88.4467,1208.01,11.81,14262.26,Hyderabad,Kolkata
HYD,Rajiv Gandhi International Airport Shamshabad,17.23132,78.42986,CCU,Netaji Subhash Chandra Bose International Airport,22.6547,88.4467,1208.02,11.28,13627.28,Hyderabad,Kolkata
HYD,Rajiv Gandhi International Airport Shamshabad,17.23132,78.42986,COK,Cochin International Airport,10.152,76.4019,817.03,12.65,10332.95,Hyderabad,Cochin
HYD,Rajiv Gandhi International Airport Shamshabad,17.23132,78.42986,GOI,Dabolim Airport,15.3808,73.8314,533.01,17.28,9210.71,Hyderabad,Dabolim
HYD,Rajiv Gandhi International Airport Shamshabad,17.23132,78.42986,IXA,Agartala Airport,23.887,91.2404,1524.29,8.33,12700.41,Hyderabad,Agartala
HYD,Rajiv Gandhi International Airport Shamshabad,17.23132,78.42986,IXB,Bagdogra Airport,26.6812,88.3286,1464.04,13.05,19098.83,Hyderabad,Siliguri
HYD,Rajiv Gandhi International Airport Shamshabad,17.23132,78.42986,IXC,Chandigarh Airport,30.6735,76.7885,1505.0,10.28,15473.49,Hyderabad,Chandigarh
HYD,Rajiv Gandhi International Airport Shamshabad,17.23132,78.42986,IXE,Mangalore International Airport,12.9613,74.8901,609.0,20.98,12777.31,Hyderabad,Mangalore
HYD,Rajiv Gandhi International Airport Shamshabad,17.23132,78.42986,IXJ,Jammu Airport,32.6891,74.8374,1756.98,9.57,16822.55,Hyderabad,Jammu
HYD,Rajiv Gandhi International Airport Shamshabad,17.23132,78.42986,IXL,Leh Kushok Bakula Rimpochee Airport,34.1359,77.5465,1881.91,14.43,27155.58,Hyderabad,Leh
HYD,Rajiv Gandhi International Airport Shamshabad,17.23132,78.42986,IXM,Madurai Airport,9.83451,78.0934,823.0,22.32,18366.24,Hyderabad,Madurai
HYD,Rajiv Gandhi International Airport Shamshabad,17.23132,78.42986,IXR,Birsa Munda Airport,23.3143,85.3217,987.01,14.88,14685.07,Hyderabad,Ranchi
HYD,Rajiv Gandhi International Airport Shamshabad,17.23132,78.42986,IXS,Silchar Airport,24.9129,92.9787,1732.99,12.11,20995.11,Hyderabad,Silchar
HYD,Rajiv Gandhi International Airport Shamshabad,17.23132,78.42986,IXU,Aurangabad Airport,19.8627,75.3981,434.0,38.77,16828.21,Hyderabad,Aurangabad
HYD,Rajiv Gandhi International Airport Shamshabad,17.23132,78.42986,IXY,Kandla Airport,23.1127,70.1003,1088.05,36.93,40176.93,Hyderabad,Kandla
HYD,Rajiv Gandhi International Airport Shamshabad,17.23132,78.42986,IXZ,Vir Savarkar International Airport,11.6412,92.7297,1659.85,9.04,15002.08,Hyderabad,Port Blair
HYD,Rajiv Gandhi International Airport Shamshabad,17.23132,78.42986,MAA,Chennai International Airport,12.99001,80.1693,507.01,21.16,10728.52,Hyderabad,Chennai
HYD,Rajiv Gandhi International Airport Shamshabad,17.23132,78.42986,MAA,Chennai International Airport,12.99001,80.1693,507.01,22.28,11294.8,Hyderabad,Chennai
IXR,Birsa Munda Airport,23.3143,85.3217,IXZ,Vir Savarkar International Airport,11.6412,92.7297,1517.01,12.27,18606.81,Ranchi,Port Blair
IXS,Silchar Airport,24.9129,92.9787,IXU,Aurangabad Airport,19.8627,75.3981,1891.34,8.91,16857.2,Silchar,Aurangabad
LKO,,,,PAT,,,,459.99,32.72,15051.88,,
MAA,Chennai International Airport,12.99001,80.1693,AMD,Sardar Vallabhbhai Patel International Airport,23.0772,72.6347,1374.96,8.66,11900.36,Chennai,Ahmedabad
MAA,Chennai International Airport,12.99001,80.1693,BOM,Chhatrapati Shivaji International Airport,19.0887,72.8679,1030.06,13.31,13713.94,Chennai,Mumbai
MAA,Chennai International Airport,12.99001,80.1693,CCU,Netaji Subhash Chandra Bose International Airport,22.6547,88.4467,1359.98,9.12,12407.85,Chennai,Kolkata
